	Date	Open	High	Low	Close	Adj Close	Volume
0	2017-04-21	1249.640015	1256.969971	1215.780029	1240.890015	1240.890015	55776932
1	2017-04-22	1240.890015	1256.22998	1223.060059	1249.140015	1249.140015	54224355
2	2017-04-23	1249.140015	1256.359985	1234.859985	1248.180054	1248.180054	49281629
3	2017-04-24	1248.180054	1272.619995	1244.209961	1264.310059	1264.310059	56659016
4	2017-04-25	1264.310059	1309.199951	1263.0	1286.630005	1286.630005	77649710
5	2017-04-26	1286.630005	1346.790039	1285.300049	1332.910034	1332.910034	83319636
6	2017-04-27	1332.910034	1356.150024	1287.619995	1329.619995	1329.619995	104536476
7	2017-04-28	1329.619995	1343.689941	1314.150024	1336.280029	1336.280029	55982468
8	2017-04-29	1336.280029	1358.939941	1309.660034	1351.910034	1351.910034	55470285
9	2017-04-30	1351.910034	1448.680054	1342.780029	1415.810059	1415.810059	144414038
10	2017-05-01	1415.810059	1471.140015	1394.829956	1445.930054	1445.930054	103342244
11	2017-05-02	1445.930054	1496.390015	1424.050049	1485.550049	1485.550049	122551707
12	2017-05-03	1485.550049	1609.839966	1437.109985	1516.76001	1516.76001	213084949
13	2017-05-04	1516.76001	1588.109985	1485.01001	1507.77002	1507.77002	188015771
14	2017-05-05	1507.77002	1560.420044	1503.930054	1545.290039	1545.290039	92747185
15	2017-05-06	1545.290039	1572.890015	1495.180054	1554.449951	1554.449951	111708072
16	2017-05-07	1554.449951	1667.670044	1552.859985	1664.469971	1664.469971	174687869
17	2017-05-08	1664.469971	1757.390015	1619.969971	1697.5	1697.5	219169486
18	2017-05-09	1697.5	1766.180054	1664.98999	1752.310059	1752.310059	156203600
19	2017-05-10	1752.310059	1864.7600100000002	1741.540039	1819.290039	1819.290039	198829123
20	2017-05-11	1819.290039	1822.5100100000002	1641.180054	1686.390015	1686.390015	192159873
21	2017-05-12	1686.390015	1770.5	1594.589966	1763.7399899999998	1763.7399899999998	128390095
22	2017-05-13	1763.7399899999998	1802.75	1736.130005	1772.550049	1772.550049	72874378
23	2017-05-14	1772.550049	1776.6500239999998	1656.810059	1708.9200440000002	1708.9200440000002	138499150
24	2017-05-15	1708.9200440000002	1752.550049	1653.719971	1729.339966	1729.339966	130379207
25	2017-05-16	1729.339966	1842.8299559999998	1703.969971	1801.300049	1801.300049	170954154
26	2017-05-17	1801.300049	1980.4899899999998	1791.119995	1880.9899899999998	1880.9899899999998	135901905
27	2017-05-18	1880.9899899999998	1969.699951	1875.280029	1962.0	1962.0	191523926
28	2017-05-19	1962.0	2048.449951	1944.4000239999998	2040.180054	2040.180054	179346919
29	2017-05-20	2040.180054	2094.939941	1980.069946	2044.189941	2044.189941	161036810
30	2017-05-21	2044.189941	2264.76001	1998.609985	2124.409912	2124.409912	373482496
31	2017-05-22	2124.409912	2286.300049	2110.780029	2272.580078	2272.580078	251969081
32	2017-05-23	2272.580078	2496.97998	2263.290039	2445.280029	2445.280029	353734030
33	2017-05-24	2445.280029	2781.76001	2210.47998	2307.219971	2307.219971	622139030
34	2017-05-25	2306.959961	2616.52002	2051.449951	2244.889893	2244.889893	441342711
35	2017-05-26	2244.889893	2322.3701170000004	1868.560059	2052.429932	2052.429932	446034004
36	2017-05-27	2052.429932	2300.52002	2051.070068	2189.02002	2189.02002	266766116
37	2017-05-28	2189.02002	2337.350098	2117.340088	2278.209961	2278.209961	204101576
38	2017-05-29	2278.209961	2329.26001	2147.100098	2192.550049	2192.550049	270069146
39	2017-05-30	2192.550049	2330.6201170000004	2168.3701170000004	2303.340088	2303.340088	261223035
40	2017-05-31	2303.340088	2460.840088	2303.340088	2412.649902	2412.649902	290070431
41	2017-06-01	2412.649902	2493.969971	2385.590088	2492.600098	2492.600098	199765372
42	2017-06-02	2492.600098	2582.77002	2449.949951	2545.429932	2545.429932	177168595
43	2017-06-03	2545.429932	2559.790039	2478.179932	2524.060059	2524.060059	149060810
44	2017-06-04	2524.060059	2705.3798829999996	2523.919922	2704.959961	2704.959961	225611887
45	2017-06-05	2704.959961	2931.23999	2699.679932	2870.5	2870.5	538772473
46	2017-06-06	2870.5	2880.949951	2626.560059	2691.51001	2691.51001	340329903
47	2017-06-07	2691.51001	2808.409912	2623.610107	2798.780029	2798.780029	260898606
48	2017-06-08	2798.780029	2852.070068	2786.070068	2811.429932	2811.429932	189237110
49	2017-06-09	2811.429932	2914.189941	2807.360107	2900.25	2900.25	246869682
50	2017-06-10	2900.25	2977.860107	2867.25	2973.449951	2973.449951	241516660
51	2017-06-11	2973.449951	2985.060059	2483.6298829999996	2656.77002	2656.77002	585158909
52	2017-06-12	2656.77002	2784.77002	2647.439941	2712.98999	2712.98999	314476276
53	2017-06-13	2712.98999	2803.719971	2348.98999	2467.27002	2467.27002	448294279
54	2017-06-14	2467.27002	2521.600098	2125.560059	2442.459961	2442.459961	606264366
55	2017-06-15	2442.459961	2536.419922	2335.280029	2508.580078	2508.580078	286630757
56	2017-06-16	2508.580078	2690.709961	2454.810059	2655.100098	2655.100098	246698591
57	2017-06-17	2655.100098	2676.040039	2488.590088	2539.560059	2539.560059	235239296
58	2017-06-18	2539.560059	2617.75	2518.780029	2616.820068	2616.820068	210372750
59	2017-06-19	2616.820068	2800.47998	2613.97998	2754.3798829999996	2754.3798829999996	300034010
60	2017-06-20	2754.3798829999996	2804.409912	2624.350098	2677.6201170000004	2677.6201170000004	313234721
61	2017-06-21	2677.6201170000004	2757.320068	2623.169922	2722.840088	2722.840088	210318780
62	2017-06-22	2722.840088	2759.659912	2699.47998	2710.3701170000004	2710.3701170000004	155303414
63	2017-06-23	2710.3701170000004	2741.560059	2540.350098	2590.050049	2590.050049	228007287
64	2017-06-24	2590.050049	2660.659912	2472.3701170000004	2541.6201170000004	2541.6201170000004	220679135
65	2017-06-25	2541.6201170000004	2584.75	2327.26001	2446.050049	2446.050049	401912134
66	2017-06-26	2446.050049	2585.060059	2309.6298829999996	2583.75	2583.75	381517099
67	2017-06-27	2583.75	2616.949951	2490.110107	2577.73999	2577.73999	279792448
68	2017-06-28	2577.73999	2605.860107	2526.51001	2558.3701170000004	2558.3701170000004	191733499
69	2017-06-29	2558.3701170000004	2576.280029	2469.540039	2480.610107	2480.610107	183878856
70	2017-06-30	2480.610107	2529.6201170000004	2387.469971	2424.610107	2424.610107	160661673
71	2017-07-01	2424.610107	2555.340088	2375.860107	2536.459961	2536.459961	165839565
72	2017-07-02	2536.459961	2617.47998	2506.300049	2572.469971	2572.469971	212244951
73	2017-07-03	2572.469971	2658.72998	2569.98999	2617.320068	2617.320068	210433639
74	2017-07-04	2617.320068	2642.73999	2562.040039	2627.860107	2627.860107	232257106
75	2017-07-05	2627.860107	2634.840088	2581.800049	2614.23999	2614.23999	156558009
76	2017-07-06	2614.23999	2617.47998	2484.72998	2513.8798829999996	2513.8798829999996	229168229
77	2017-07-07	2513.8798829999996	2568.72998	2480.6201170000004	2564.860107	2564.860107	136973389
78	2017-07-08	2564.860107	2576.72998	2509.649902	2511.429932	2511.429932	99506518
79	2017-07-09	2511.429932	2530.340088	2271.790039	2344.02002	2344.02002	297270301
80	2017-07-10	2344.02002	2412.75	2265.47998	2324.290039	2324.290039	341998621
81	2017-07-11	2324.290039	2424.820068	2262.080078	2403.090088	2403.090088	257095280
82	2017-07-12	2403.090088	2436.659912	2334.959961	2362.439941	2362.439941	208630220
83	2017-07-13	2362.439941	2370.530029	2165.360107	2234.169922	2234.169922	257704533
84	2017-07-14	2234.169922	2237.1298829999996	1974.030029	1975.0799559999998	1975.0799559999998	320719096
85	2017-07-15	1975.0799559999998	2044.410034	1808.9899899999998	1914.089966	1914.089966	364287861
86	2017-07-16	1914.089966	2233.830078	1913.790039	2233.389893	2233.389893	368366495
87	2017-07-17	2233.389893	2400.73999	2164.590088	2320.22998	2320.22998	465220151
88	2017-07-18	2320.22998	2412.3798829999996	2243.1298829999996	2282.580078	2282.580078	357639189
89	2017-07-19	2282.580078	2932.810059	2282.110107	2866.02002	2866.02002	807416890
90	2017-07-20	2866.02002	2873.959961	2622.540039	2675.080078	2675.080078	529154789
91	2017-07-21	2675.080078	2876.709961	2658.590088	2836.530029	2836.530029	341992860
92	2017-07-22	2836.530029	2856.669922	2675.649902	2756.610107	2756.610107	299869260
93	2017-07-23	2756.610107	2798.889893	2715.689941	2763.419922	2763.419922	229047365
94	2017-07-24	2763.419922	2779.080078	2472.6201170000004	2582.580078	2582.580078	534765380
95	2017-07-25	2582.580078	2631.72998	2441.540039	2559.209961	2559.209961	340465234
96	2017-07-26	2559.209961	2712.919922	2547.73999	2691.8798829999996	2691.8798829999996	269880857
97	2017-07-27	2691.8798829999996	2843.780029	2683.590088	2806.75	2806.75	383479795
98	2017-07-28	2806.75	2812.1298829999996	2699.419922	2733.5	2733.5	230818894
99	2017-07-29	2733.5	2773.060059	2621.679932	2766.48999	2766.48999	222933516
100	2017-07-30	2766.48999	2916.300049	2723.050049	2883.27002	2883.27002	254836601
101	2017-07-31	2883.27002	2946.02002	2659.6201170000004	2746.98999	2746.98999	341216428
102	2017-08-01	2746.98999	2773.800049	2668.8701170000004	2720.530029	2720.530029	222534344
103	2017-08-02	2720.530029	2822.8798829999996	2717.6201170000004	2809.98999	2809.98999	188517085
104	2017-08-03	2809.98999	2892.669922	2779.51001	2878.48999	2878.48999	195800289
105	2017-08-04	2878.48999	3344.01001	2875.909912	3262.800049	3262.800049	503737620
106	2017-08-05	3262.800049	3295.070068	3166.52002	3232.030029	3232.030029	196484496
107	2017-08-06	3232.030029	3425.1298829999996	3198.51001	3401.9099119999996	3401.9099119999996	294021645
108	2017-08-07	3401.9099119999996	3494.8701170000004	3357.149902	3429.3798829999996	3429.3798829999996	366169429
109	2017-08-08	3429.3798829999996	3437.149902	3251.030029	3348.790039	3348.790039	324058681
110	2017-08-09	3348.790039	3453.8400880000004	3322.919922	3425.669922	3425.669922	242024460
111	2017-08-10	3425.669922	3706.4799799999996	3409.790039	3654.3701170000004	3654.3701170000004	345135492
112	2017-08-11	3654.3701170000004	3967.26001	3611.360107	3871.6201170000004	3871.6201170000004	469532325
113	2017-08-12	3871.6201170000004	4189.419922	3847.3100590000004	4062.600098	4062.600098	638917500
114	2017-08-13	4062.600098	4336.709961	3978.9499509999996	4327.939941	4327.939941	540927757
115	2017-08-14	4327.939941	4436.47998	3837.1298829999996	4161.660156	4161.660156	872840682
116	2017-08-15	4161.660156	4398.060059	3938.6201170000004	4387.399902	4387.399902	472960334
117	2017-08-16	4387.399902	4487.5	4194.100098	4278.919922	4278.919922	554232802
118	2017-08-17	4278.919922	4362.72998	3978.280029	4105.370117	4105.370117	603898315
119	2017-08-18	4105.370117	4189.680176	3957.459961	4150.450195	4150.450195	462723151
120	2017-08-19	4150.450195	4182.290039	4034.399902	4066.600098	4066.600098	288193446
121	2017-08-20	4066.600098	4097.25	3966.929932	4005.100098	4005.100098	365174045
122	2017-08-21	4005.100098	4142.680176	3612.209961	4089.6999509999996	4089.6999509999996	659657838
123	2017-08-22	4089.6999509999996	4255.620117	4070.48999	4141.089844	4141.089844	402340258
124	2017-08-23	4141.089844	4364.109863000001	4111.709961	4318.350098	4318.350098	305373477
125	2017-08-24	4318.350098	4461.709961	4292.629883	4364.410156	4364.410156	362283252
